COD_RESERVATORIO_VOL;CODIGO_USINA_RESTRICAO;TIPO_REST;MES;VOL_MIN;VOL_MAX;LIM_MIN;LIM_MAX;PERIOD;LEGENDA_FAIXA
169;178;QDEF;3;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 4
169;178;QDEF;4;00.0;20.0;700;800;M;Restricao
169;178;QDEF;4;20.0;50.8;800;800;M;Atencao
169;178;QDEF;4;50.8;53.6;800;800;M;Atencao
169;178;QDEF;4;53.6;56.5;800;850;M;Atencao
169;178;QDEF;4;56.5;59.3;800;900;M;Atencao
169;178;QDEF;4;59.3;60.0;800;950;M;Atencao
169;178;QDEF;4;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 5
169;178;QDEF;5;00.0;20.0;700;800;M;Restricao
169;178;QDEF;5;20.0;56.2;800;800;M;Atencao
169;178;QDEF;5;56.2;59.1;800;800;M;Atencao
169;178;QDEF;5;59.1;60.0;800;850;M;Atencao
169;178;QDEF;5;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 6
169;178;QDEF;6;00.0;20.0;700;800;M;Restricao
169;178;QDEF;6;20.0;55.1;800;800;M;Atencao
169;178;QDEF;6;55.1;58.0;800;800;M;Atencao
169;178;QDEF;6;58.0;60.0;800;850;M;Atencao
169;178;QDEF;6;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 7
169;178;QDEF;7;00.0;20.0;700;800;M;Restricao
169;178;QDEF;7;20.0;52.0;800;800;M;Atencao
169;178;QDEF;7;52.0;55.0;800;800;M;Atencao
169;178;QDEF;7;55.0;57.9;800;850;M;Atencao
169;178;QDEF;7;57.9;60.0;800;900;M;Atencao
169;178;QDEF;7;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 8
169;178;QDEF;8;00.0;20.0;700;800;M;Restricao
169;178;QDEF;8;20.0;41.9;800;800;M;Atencao
169;178;QDEF;8;41.9;44.9;800;800;M;Atencao
169;178;QDEF;8;44.9;47.9;800;850;M;Atencao
169;178;QDEF;8;47.9;50.9;800;900;M;Atencao
169;178;QDEF;8;50.9;53.9;800;950;M;Atencao
169;178;QDEF;8;53.9;60.0;800;1000;M;Atencao
169;178;QDEF;8;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 9
169;178;QDEF;9;00.0;20.0;700;800;M;Restricao
169;178;QDEF;9;20.0;31.2;800;800;M;Atencao
169;178;QDEF;9;31.2;34.2;800;800;M;Atencao
169;178;QDEF;9;34.2;37.1;800;850;M;Atencao
169;178;QDEF;9;37.1;40.1;800;900;M;Atencao
169;178;QDEF;9;40.1;43.0;800;950;M;Atencao
169;178;QDEF;9;43.0;60.0;800;1000;M;Atencao
169;178;QDEF;9;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 10
169;178;QDEF;10;00.0;20.0;700;800;M;Restricao
169;178;QDEF;10;20.0;25.0;800;800;M;Atencao
169;178;QDEF;10;25.0;27.9;800;800;M;Atencao
169;178;QDEF;10;27.9;30.9;800;850;M;Atencao
169;178;QDEF;10;30.9;33.9;800;900;M;Atencao
169;178;QDEF;10;33.9;36.8;800;950;M;Atencao
169;178;QDEF;10;36.8;60.0;800;1000;M;Atencao
169;178;QDEF;10;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 11
169;178;QDEF;11;00.0;20.0;700;800;M;Restricao
169;178;QDEF;11;20.0;21.1;800;800;M;Atencao
169;178;QDEF;11;21.1;24.0;800;800;M;Atencao
169;178;QDEF;11;24.0;26.9;800;850;M;Atencao
169;178;QDEF;11;26.9;29.8;800;900;M;Atencao
169;178;QDEF;11;29.8;32.7;800;950;M;Atencao
169;178;QDEF;11;32.7;60.0;800;1000;M;Atencao
169;178;QDEF;11;60.0;100.0;1100;99999;M;Normal
& Sobradinho CSEG 2022 - mes 12
169;178;QDEF;12;00.0;20.0;700;800;M;Restricao
169;178;QDEF;12;20.0;22.9;800;800;M;Atencao
169;178;QDEF;12;22.9;25.8;800;800;M;Atencao
169;178;QDEF;12;25.8;28.7;800;850;M;Atencao
169;178;QDEF;12;28.7;31.6;800;900;M;Atencao
169;178;QDEF;12;31.6;34.4;800;950;M;Atencao
169;178;QDEF;12;34.4;37.3;800;1000;M;Atencao
169;178;QDEF;12;37.3;40.2;800;1050;M;Atencao
169;178;QDEF;12;40.2;43.1;800;1100;M;Atencao
169;178;QDEF;12;43.1;46.0;800;1150;M;Atencao
169;178;QDEF;12;46.0;48.8;800;1200;M;Atencao
169;178;QDEF;12;48.8;51.7;800;1250;M;Atencao
169;178;QDEF;12;51.7;54.6;800;1300;M;Atencao
169;178;QDEF;12;54.6;57.5;800;1350;M;Atencao
169;178;QDEF;12;57.5;60.0;800;1400;M;Atencao
169;178;QDEF;12;60.0;100.0;1100;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 12
251;251;QDEF;12;00.00;20.00;100;397;M;Atencao
251;251;QDEF;12;20.00;100.0;100;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 1
251;251;QDEF;1;00.00;20.00;100;397;M;Atencao
251;251;QDEF;1;20.00;100.0;100;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 2
251;251;QDEF;2;00.00;20.00;100;397;M;Atencao
251;251;QDEF;2;20.00;100.0;100;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 3
251;251;QDEF;3;00.00;20.00;100;397;M;Atencao
251;251;QDEF;3;20.00;100.0;100;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 4
251;251;QDEF;4;00.00;20.00;100;397;M;Atencao
251;251;QDEF;4;20.00;100.0;100;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 5
251;251;QDEF;5;00.00;20.00;100;397;M;Atencao
251;251;QDEF;5;20.00;100.0;100;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 6
251;251;QDEF;6;00.00;10.00;-;-;M;Alerta
251;251;QDEF;6;10.00;20.00;-;-;M;Atencao
251;251;QDEF;6;20.00;100.0;-;-;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 7
251;251;QDEF;7;00.00;10.00;-;-;M;Alerta
251;251;QDEF;7;10.00;20.00;-;-;M;Atencao
251;251;QDEF;7;20.00;100.0;-;-;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 8
251;251;QDEF;8;00.00;10.00;-;-;M;Alerta
251;251;QDEF;8;10.00;20.00;-;-;M;Atencao
251;251;QDEF;8;20.00;100.0;-;-;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 9
251;251;QDEF;9;00.00;10.00;300;397;M;Alerta
251;251;QDEF;9;10.00;20.00;300;794;M;Atencao
251;251;QDEF;9;20.00;100.0;300;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 10
251;251;QDEF;10;00.00;10.00;300;397;M;Alerta
251;251;QDEF;10;10.00;20.00;300;794;M;Atencao
251;251;QDEF;10;20.00;100.0;300;99999;M;Normal
& Proposta Res ANA Tocantins - Serra da Mesa - mes 11
251;251;QDEF;11;00.00;10.00;300;397;M;Alerta
251;251;QDEF;11;10.00;20.00;300;794;M;Atencao
251;251;QDEF;11;20.00;100.0;300;99999;M;Normal
& Proposta Res ANA Parana - Jupia - contribuicao Furnas
006;045;QDEF;11;00.00;30.00;2700;-;S;Restricao
